Mon Nov  4 20:57:14 2024    profile_results.prof

         25026 function calls (24957 primitive calls) in 6.590 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    6.590    6.590 .\chat_detection.py:235(main)
        2    0.000    0.000    3.731    1.865 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\queues.py:91(get)
        2    0.000    0.000    3.677    1.838 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\connection.py:208(recv_bytes)
        2    0.000    0.000    3.677    1.838 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\connection.py:294(_recv_bytes)
        1    3.675    3.675    3.675    3.675 {built-in method _winapi.WaitForMultipleObjects}
        1    0.000    0.000    1.086    1.086 .\chat_detection.py:11(init_opencl)
        2    0.000    0.000    1.063    0.531 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\process.py:101(start)
        2    0.000    0.000    1.063    0.531 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\context.py:221(_Popen)
        2    0.000    0.000    1.063    0.531 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\context.py:319(_Popen)
        1    1.061    1.061    1.061    1.061 {built-in method getDefault}
        2    0.000    0.000    1.059    0.529 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\popen_spawn_win32.py:45(__init__)
        4    0.001    0.000    1.048    0.262 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\reduction.py:58(dump)
        4    1.048    0.262    1.048    0.262 {method 'dump' of '_pickle.Pickler' objects}
        4    0.624    0.156    0.624    0.156 {built-in method _winapi.WaitForSingleObject}
        1    0.000    0.000    0.574    0.574 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\subprocess.py:447(run)
        1    0.000    0.000    0.569    0.569 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\subprocess.py:920(communicate)
        2    0.000    0.000    0.569    0.285 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\subprocess.py:1014(wait)
        2    0.000    0.000    0.569    0.285 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\subprocess.py:1250(_wait)
        2    0.000    0.000    0.055    0.028 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\process.py:133(join)
        3    0.001    0.000    0.055    0.018 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\popen_spawn_win32.py:97(wait)
        2    0.054    0.027    0.054    0.027 {built-in method _pickle.loads}
        1    0.025    0.025    0.025    0.025 {haveOpenCL}
        1    0.000    0.000    0.023    0.023 D:\Snoopy_AI\Snoopy_AI\snoopyAI\snoopyAI\lib\site-packages\pyscreeze\__init__.py:532(_screenshot_win32)
        1    0.000    0.000    0.023    0.023 D:\Snoopy_AI\Snoopy_AI\snoopyAI\snoopyAI\lib\site-packages\PIL\ImageGrab.py:27(grab)
        1    0.021    0.021    0.021    0.021 {imwrite}
        1    0.021    0.021    0.021    0.021 {built-in method PIL._imaging.grabscreen_win32}
        3    0.013    0.004    0.013    0.004 {built-in method _winapi.CreateProcess}
        2    0.012    0.006    0.013    0.006 {method 'sort' of 'list' objects}
     11/3    0.000    0.000    0.012    0.004 <frozen importlib._bootstrap>:978(_find_and_load)
     11/3    0.000    0.000    0.012    0.004 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     11/3    0.000    0.000    0.010    0.003 <frozen importlib._bootstrap>:663(_load_unlocked)
