Fri Nov  8 21:56:15 2024    profile_results.prof

         26008 function calls (25910 primitive calls) in 14.302 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   14.302   14.302 .\chat_detection.py:235(main)
        1    0.000    0.000    8.815    8.815 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\subprocess.py:447(run)
        4    8.811    2.203    8.811    2.203 {built-in method _winapi.WaitForSingleObject}
        1    0.000    0.000    8.811    8.811 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\subprocess.py:920(communicate)
        2    0.000    0.000    8.811    4.405 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\subprocess.py:1014(wait)
        2    0.000    0.000    8.811    4.405 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\subprocess.py:1250(_wait)
        2    0.000    0.000    3.299    1.649 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\queues.py:91(get)
        2    0.000    0.000    3.268    1.634 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\connection.py:208(recv_bytes)
        2    0.000    0.000    3.268    1.634 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\connection.py:294(_recv_bytes)
        2    3.267    1.633    3.267    1.633 {built-in method _winapi.WaitForMultipleObjects}
        1    0.001    0.001    1.302    1.302 .\chat_detection.py:11(init_opencl)
        1    1.274    1.274    1.274    1.274 {built-in method getDefault}
        2    0.000    0.000    0.735    0.368 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\process.py:101(start)
        2    0.000    0.000    0.735    0.368 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\context.py:221(_Popen)
        2    0.000    0.000    0.735    0.368 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\context.py:319(_Popen)
        2    0.000    0.000    0.726    0.363 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\popen_spawn_win32.py:45(__init__)
        4    0.001    0.000    0.717    0.179 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\reduction.py:58(dump)
        4    0.717    0.179    0.717    0.179 {method 'dump' of '_pickle.Pickler' objects}
        1    0.000    0.000    0.034    0.034 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\site-packages\pyscreeze\__init__.py:532(_screenshot_win32)
        1    0.000    0.000    0.034    0.034 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\site-packages\PIL\ImageGrab.py:27(grab)
        1    0.032    0.032    0.032    0.032 {built-in method PIL._imaging.grabscreen_win32}
        1    0.000    0.000    0.031    0.031 .\chat_detection.py:96(load_templates)
        2    0.030    0.015    0.030    0.015 {built-in method _pickle.loads}
     13/3    0.000    0.000    0.026    0.009 <frozen importlib._bootstrap>:978(_find_and_load)
     13/3    0.000    0.000    0.026    0.009 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     13/3    0.000    0.000    0.025    0.008 <frozen importlib._bootstrap>:663(_load_unlocked)
     11/3    0.000    0.000    0.025    0.008 <frozen importlib._bootstrap_external>:722(exec_module)
        1    0.024    0.024    0.024    0.024 {haveOpenCL}
        2    0.021    0.011    0.021    0.011 {imread}
     19/3    0.000    0.000    0.021    0.007 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     12/3    0.000    0.000    0.021    0.007 {built-in method builtins.exec}
        1    0.020    0.020    0.020    0.020 {imwrite}
        1    0.018    0.018    0.018    0.018 {cvtColor}
        1    0.000    0.000    0.017    0.017 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\context.py:99(Queue)
        4    0.014    0.004    0.014    0.004 {rectangle}
        1    0.000    0.000    0.013    0.013 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\queues.py:10(<module>)
       11    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:793(get_code)
        3    0.012    0.004    0.012    0.004 {built-in method _winapi.CreateProcess}
    56/26    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      4/2    0.000    0.000    0.011    0.006 {built-in method builtins.__import__}
        2    0.010    0.005    0.011    0.006 {method 'sort' of 'list' objects}
       11    0.004    0.000    0.010    0.001 <frozen importlib._bootstrap_external>:914(get_data)
        2    0.008    0.004    0.008    0.004 {split}
       13    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
        1    0.000    0.000    0.008    0.008 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\popen_spawn_win32.py:1(<module>)
        2    0.000    0.000    0.007    0.004 <frozen importlib._bootstrap_external>:1040(create_module)
        2    0.007    0.004    0.007    0.004 {built-in method _imp.create_dynamic}
